                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 1.3933,                 2.3525,                 1.5949,                 1.4428,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0010768,              0.0010768,              0.0010768
                     45,                 1.4404,                 2.3547,                  1.739,                 1.5255,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0010726,              0.0010726,              0.0010726
                     46,                 1.3552,                 2.2454,                  1.605,                 1.4088,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0010685,              0.0010685,              0.0010685
                     47,                 1.3535,                  2.163,                 1.4577,                 1.4616,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0010644,              0.0010644,              0.0010644
                     48,                 1.3701,                 2.4559,                 1.7928,                 1.4865,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0010603,              0.0010603,              0.0010603
                     49,                 1.3609,                 2.3068,                 1.6563,                 1.4556,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0010561,              0.0010561,              0.0010561
                     50,                 1.2593,                 2.2728,                 1.5106,                 1.3785,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.001052,               0.001052,               0.001052
                     51,                 1.2793,                 2.1239,                  1.542,                 1.4078,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0010479,              0.0010479,              0.0010479
                     52,                 1.2533,                 2.2511,                 1.4679,                 1.4028,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0010438,              0.0010438,              0.0010438
                     53,                 1.3027,                 2.2943,                  1.442,                 1.3777,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0010396,              0.0010396,              0.0010396
                     54,                 1.1481,                 2.0974,                 1.3247,                 1.3221,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0010355,              0.0010355,              0.0010355
                     55,                 1.1918,                 2.0194,                 1.3553,                  1.345,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0010314,              0.0010314,              0.0010314
                     56,                 1.1649,                 1.9068,                 1.3339,                 1.3331,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0010273,              0.0010273,              0.0010273
                     57,                 1.1718,                 1.9631,                 1.3649,                 1.3646,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0010231,              0.0010231,              0.0010231
                     58,                 1.2833,                 1.9168,                 1.4075,                 1.4089,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.001019,               0.001019,               0.001019
                     59,                 1.3631,                 2.3152,                 1.5552,                 1.4504,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0010149,              0.0010149,              0.0010149
                     60,                 1.2715,                 2.0708,                  1.422,                 1.3793,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0010107,              0.0010107,              0.0010107
                     61,                 1.2871,                 2.0872,                  1.408,                 1.3575,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0010066,              0.0010066,              0.0010066
                     62,                 1.3188,                 2.1844,                 1.3902,                 1.3757,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0010025,              0.0010025,              0.0010025
                     63,                 1.2547,                 2.1237,                 1.3292,                 1.3247,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00099837,             0.00099837,             0.00099837
                     64,                 1.2201,                 1.9829,                 1.3426,                  1.334,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00099425,             0.00099425,             0.00099425
                     65,                 1.2081,                 2.0936,                 1.4429,                 1.3627,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00099013,             0.00099013,             0.00099013
                     66,                 1.1682,                 2.1199,                 1.4151,                 1.3185,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.000986,               0.000986,               0.000986
                     67,                 1.2354,                 2.0012,                 1.4846,                 1.3825,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00098187,             0.00098187,             0.00098187
